row,system,deployment_surface,content_types,marking_method,standards,detection_endpoint,interop_status_2027_02_02
1,Stable Diffusion 1.5 (upstream: Stability AI),Scruple Studio Web (scruple.ai),image,1.1.1 C2PA v2.x + 1.1.2 DCT imperceptible watermark (raster image, publication-time) + 1.1.3 Merkle-anchored witness leaf,C2PA v2.x + ISO/IEC 21617-1:2025 compatible + Scruple watermark reference,scruple-verify (npm; includes watermark subcommand) + planned public verify URL,1.1.1 shipped; 1.1.2 shipped (raster image, local-lock); 1.1.3 shipped
2,Stable Diffusion XL (upstream: Stability AI),Scruple Studio Web,image,1.1.1 C2PA v2.x + 1.1.2 DCT watermark + 1.1.3 witness leaf,C2PA v2.x + ISO/IEC 21617-1:2025 compatible + Scruple watermark reference,scruple-verify + planned public URL,same as row 1
3,FLUX.1 dev/schnell (upstream: Black Forest Labs),Scruple Studio Web,image,1.1.1 C2PA v2.x + 1.1.2 DCT watermark + 1.1.3 witness leaf,C2PA v2.x + ISO/IEC 21617-1:2025 compatible + Scruple watermark reference,scruple-verify + planned public URL,same as row 1
4,Kohya-ss LoRA trainer (base: SDXL/SD1.5),Scruple Studio Kohya tab + Modal integration,mlModel/pytorch,1.1.1 C2PA sidecar + 1.1.3 witness leaf on checkpoint,C2PA v2.x mlModel (wrapper pending) + IPTC trainedAlgorithmicMedia,scruple-verify,1.1.1 sidecar shipped; wrapper limit noted; 1.1.3 shipped
5,SeedVR2 video upscaler (upstream: numz),Scruple Studio Canvas + ComfyUI integration,video,1.1.1 C2PA v2.x + 1.1.3 witness leaf,C2PA v2.x video (MP4/MOV/AVI) + BMFF hash assertion,scruple-verify,1.1.1 shipped; 1.1.3 shipped
6,AnimateDiff / VideoHelperSuite (upstream: Kosinkadink),Scruple Studio Canvas + ComfyUI integration,video,1.1.1 C2PA v2.x + 1.1.3 witness leaf,C2PA v2.x video + BMFF hash,scruple-verify,1.1.1 shipped; 1.1.3 shipped
7,Third-party AI systems (Scruple Witness API consumers),witness.scruple.ai public API,image/video/audio/other-per-caller,1.1.1 + 1.1.3 by Scruple to caller-supplied hashes; 1.1.2 available to callers via open-source Scruple watermark reference (client-side embed, chained via /v1/log fields),C2PA v2.x + Scruple Standard v1.2 + Scruple watermark reference,Planned public verify URL,1.1.1 shipped; caller assertion; 1.1.2 API surface shipped; 1.1.3 shipped
8,Adobe Photoshop (embedded UXP plugin),Adobe Photoshop,image,Save-hook 1.1.1 C2PA + 1.1.3 witness leaf,C2PA v2.x + Content Credentials compatible,Adobe Verify + scruple-verify,1.1.1 shipped; plugin release pending Adobe dev account
9,Adobe Illustrator/InDesign/Premiere/AE/Lightroom (embedded UXP),Respective Adobe apps,image/video/composite,Save-hook 1.1.1 + 1.1.3 witness leaf,C2PA v2.x + Content Credentials compatible,Adobe Verify + scruple-verify,same as row 8
10,Autodesk Fusion 360 (embedded palette add-in),Autodesk Fusion 360,image + CAD (Adobe-DNG/TIFF for renders),1.1.1 on renders + 1.1.3 on CAD source hash,C2PA v2.x,scruple-verify,1.1.1 shipped; 1.1.3 shipped
11,Customer-hosted generative pipelines (custom single-tenant),Bespoke deployments running same Witness API stack,image/video/audio/mlModel per customer,1.1.1 + 1.1.3 by Scruple witness layer,C2PA v2.x + Scruple Standard v1.2,Planned public verify URL,same as row 7
